"n_firms";"rho_start";"mean_sum_detected";"mean_duration_detected";"mean_sum_population";"mean_duration_population"
4;0.1;54.642;289;98.992;337.857
4;0.15;60.518;234;96.254;259.445
4;0.2;63.262;172;92.181;186.601
4;0.25;63.837;161;83.226;161.918
4;0.3;51.959;122;68.418;119.821
4;0.35;29.52;99;44.874;97.978
5;0.1;45.919;230;88.992;213.41
5;0.15;35.004;170;71.576;142.016
5;0.2;25.403;115;55.545;97.963
5;0.25;13.335;77;31.981;60.228
5;0.3;3.68;99;9.186;72.905
5;0.35;0.412;34;1.623;49.182
6;0.1;1.16;50;9.02;18.522
6;0.15;1.085;64;5.112;41.561
6;0.2;0.042;21;0.746;33.909
6;0.25;0;0;0.22;55
6;0.3;0;0;0.202;40.4
6;0.35;0;0;0;0
7;0.1;0;0;0.044;8.8
7;0.15;0;0;0;0
7;0.2;0;0;0;0
7;0.25;0;0;0;0
7;0.3;0;0;0;0
7;0.35;0;0;0;0
